filename	count_mme	count_mlle	total
1903-0129	8	6	14
1902-0139	8	6	14
1905-0159	7	6	13
1906-0169	5	8	13
1904-0152	7	5	12
1906-0170	6	4	10
1901-0118	6	4	10
1906-0172	3	6	9
1901-0120	6	2	8
1905-0162	3	3	6
1904-0155	3	3	6
1902-0141	5	1	6
1905-0161	3	3	6
1903-0131	5	1	6
1899-0107	2	4	6
1899-0108	4	2	6
1900-0114	4	2	6
1906-0171	3	3	6
1900-0113	2	4	6
1901-0119	4	1	5
1904-0153	4	1	5
1904-0154	2	3	5
1905-0160	3	2	5
1898-0097	5	0	5
1893-0106	3	2	5
1896-0126	2	3	5
1891-0097	3	1	4
1894-0111	2	2	4
1900-0096	4	0	4
1902-0140	3	1	4
1902-0142	2	2	4
1890-0096	3	1	4
1904-0123	4	0	4
1895-0110	2	2	4
1902-0110	4	0	4
1901-0103	3	1	4
1903-0100	4	0	4
1903-0132	2	2	4
1892-0097	3	1	4
1903-0130	3	1	4
1901-0104	4	0	4
1906-0099	2	1	3
1899-0071	1	2	3
1905-0114	2	1	3
1897-0094	3	0	3
1897-0107	1	2	3
1900-0095	2	1	3
1902-0091	2	1	3
1906-0123	2	1	3
1902-0118	2	1	3
1897-0082	0	3	3
1899-0064	2	1	3
1888-0095	2	1	3
1904-0114	3	0	3
1903-0099	2	1	3
1903-0108	2	1	3
1887-0200	3	0	3
1898-0089	1	2	3
1904-0092	1	2	3
1900-0088	1	2	3
1895-0066	3	0	3
1906-0086	3	0	3
1897-0093	2	1	3
1901-0121	2	1	3
1896-0098	2	1	3
1899-0099	2	1	3
1897-0087	1	2	3
1899-0092	3	0	3
1897-0109	1	2	3
1901-0071	2	1	3
1905-0116	3	0	3
1904-0080	3	0	3
1894-0098	3	0	3
1893-0093	3	0	3
1906-0125	3	0	3
1896-0078	3	0	3
1899-0084	2	1	3
1896-0129	0	3	3
1901-0089	1	2	3
1902-0109	2	1	3
1903-0081	2	1	3
1898-0103	2	1	3
1889-0093	2	1	3
1905-0092	2	1	3
1897-0077	1	2	3
1898-0110	1	2	3
1906-0128	2	0	2
1893-0105	1	1	2
1901-0093	1	1	2
1899-0091	2	0	2
1899-0109	0	2	2
1904-0071	1	1	2
1904-0070	1	1	2
1892-0064	1	1	2
1904-0067	1	1	2
1897-0100	1	1	2
1899-0338	0	2	2
1897-0092	2	0	2
1897-0080	2	0	2
1899-0061	1	1	2
1898-0084	0	2	2
1905-0085	1	1	2
1899-0075	2	0	2
1899-0344	2	0	2
1899-0072	2	0	2
1897-0070	2	0	2
1904-0094	0	2	2
1904-0091	1	1	2
1895-0352	2	0	2
1901-0070	1	1	2
1901-0072	1	1	2
1901-0075	1	1	2
1905-0080	2	0	2
1897-0084	0	2	2
1894-0072	2	0	2
1898-0079	2	0	2
1901-0087	2	0	2
1901-0092	1	1	2
1903-0063	1	1	2
1906-0107	1	1	2
1900-0068	1	1	2
1904-0098	1	1	2
1898-0069	2	0	2
1887-0024	1	1	2
1906-0133	1	1	2
1903-0373	0	2	2
1897-0067	2	0	2
1906-0173	0	2	2
1896-0340	2	0	2
1906-0131	0	2	2
1906-0135	2	0	2
1903-0379	2	0	2
1899-0077	0	2	2
1903-0140	1	1	2
1900-0064	2	0	2
1906-0136	1	1	2
1900-0065	1	1	2
1903-0133	1	1	2
1896-0345	2	0	2
1897-0342	2	0	2
1905-0071	2	0	2
1904-0113	2	0	2
1898-0094	2	0	2
1898-0082	2	0	2
1887-0026	1	1	2
1897-0074	1	1	2
1898-0112	1	1	2
1898-0111	2	0	2
1887-0038	0	2	2
1904-0156	1	1	2
1898-0096	2	0	2
1904-0100	1	1	2
1898-0078	0	2	2
1898-0071	2	0	2
1904-0112	1	1	2
1898-0402	2	0	2
1903-0361	2	0	2
1897-0064	1	1	2
1904-0103	0	2	2
1905-0081	1	1	2
1899-0060	2	0	2
1894-0104	2	0	2
1906-0091	2	0	2
1903-0107	0	2	2
1900-0074	1	1	2
1906-0094	1	1	2
1906-0109	1	1	2
1900-0103	2	0	2
1905-0125	2	0	2
1903-0087	1	1	2
1894-0069	1	1	2
1896-0072	1	1	2
1895-0063	1	1	2
1896-0091	2	0	2
1900-0079	2	0	2
1902-0101	1	1	2
1900-0076	2	0	2
1903-0091	1	1	2
1900-0115	0	2	2
1896-0092	2	0	2
1906-0076	2	0	2
1905-0126	1	1	2
1896-0127	0	2	2
1906-0112	0	2	2
1896-0105	0	2	2
1900-0081	0	2	2
1893-0064	1	1	2
1896-0124	0	2	2
1896-0123	0	2	2
1894-0084	2	0	2
1906-0101	1	1	2
1896-0107	1	1	2
1905-0163	1	1	2
1902-0097	1	1	2
1906-0075	1	1	2
1902-0075	2	0	2
1906-0105	1	1	2
1902-0073	1	1	2
1901-0371	2	0	2
1902-0074	1	1	2
1896-0085	0	2	2
1901-0096	1	1	2
1905-0070	1	1	2
1905-0107	1	1	2
1902-0143	1	1	2
1902-0117	0	2	2
1901-0353	2	0	2
1901-0365	0	2	2
1905-0088	2	0	2
1896-0080	0	2	2
1903-0064	1	1	2
1896-0075	0	2	2
1903-0065	2	0	2
1896-0062	1	1	2
1895-0109	1	1	2
1895-0098	2	0	2
1902-0373	2	0	2
1900-0350	0	2	2
1901-0095	1	1	2
1896-0065	2	0	2
1905-0094	0	2	2
1900-0356	2	0	2
1895-0069	1	1	2
1905-0097	1	1	2
1902-0385	0	2	2
1895-0092	2	0	2
1902-0391	2	0	2
1894-0110	1	1	2
1901-0122	1	1	2
1906-0095	2	0	2
1895-0080	0	2	2
1895-0078	2	0	2
1905-0121	0	2	2
1901-0111	2	0	2
1905-0099	1	1	2
1905-0101	1	1	2
1900-0105	1	0	1
1896-0292	0	1	1
1896-0093	1	0	1
1896-0099	1	0	1
1896-0106	0	1	1
1896-0125	0	1	1
1900-0299	0	1	1
1896-0096	0	1	1
1900-0310	0	1	1
1900-0306	0	1	1
1896-0130	1	0	1
1899-0063	1	0	1
1896-0083	1	0	1
1902-0070	0	1	1
1896-0074	1	0	1
1896-0088	1	0	1
1896-0069	1	0	1
1896-0284	0	1	1
1896-0066	1	0	1
1896-0082	0	1	1
1896-0076	1	0	1
1896-0071	1	0	1
1896-0068	1	0	1
1895-0096	0	1	1
1901-0107	1	0	1
1901-0421	1	0	1
1901-0446	0	1	1
1900-0102	0	1	1
