year	page_begin	page_end	note	LOCALISATION
1907	65	148	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1907	175	181	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1907	423	554	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1907	559	568	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1909	69	158	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1909	163	169	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
1909	219	225	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1909	463	593	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1909	597	605	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1910	71	161	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1910	211	217	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1910	423	429	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
1910	457	588	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1910	591	598	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1911	73	165	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1911	219	226	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1911	431	437	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
1911	485	618	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1911	621	627	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1912	77	178	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1912	213	234	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1912	441	447	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
1912	495	632	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1912	635	641	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1913	109	213	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1913	259	266	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1913	477	484	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
1913	507	646	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1913	647	652	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1914	85	187	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1914	237	243	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1914	459	466	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
1914	493	635	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1914	636	640	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1917	71	175	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1917	221	228	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1917	309	317	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
1917	343	483	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1917	484	488	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1922	87	217	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1922	262	270	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1922	367	377	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT DE LA SEINE
